"plot_plot_id","lf_lf_id","_lf_photos_position","lf_photo","pic_pos","pic_pos_label"
"303","1","3","38_3ca98f05-f8e7-48b4-a483-ce3574d1709b.jpg","3","Centre > South"
"303","1","4","38_7dceca2f-e4d5-4e62-ac0c-defca3fa4447.jpg","4","Centre > West"
"303","2","1","38_0cc9d078-f4d9-4c19-a546-46e5b6fa8e94.jpg","7","South > Centre"
"303","2","2","38_bb0db4f5-57a4-476d-94db-a22fe529e86c.jpg","8","West > Centre"
"303","2","3","38_b63fdd3f-c017-4ff9-9ab7-57487f2cb187.jpg","6","East > Centre"
"303","2","4","38_5fda282e-8ee2-455b-a738-7c2310ddbe50.jpg","5","North > Centre"
"318","1","1","39_4d9bfa2d-1b2f-4d26-9558-506f5fca6bf2.jpg","1","Centre > North"
"318","1","2","39_e2d3371b-a9fc-40d9-8bed-89f830c8ac31.jpg","2","Centre > East"
"318","1","3","39_1eb7095b-3c19-45a7-806a-3b1f9f506717.jpg","3","Centre > South"
"318","1","4","39_d9fbd688-805c-4187-a62d-1ef46505d539.jpg","4","Centre > West"
"318","2","1","39_ad9c35a0-d802-4bd8-b8ec-a9b67dad24f7.jpg","1","Centre > North"
"318","2","2","39_1385f15d-6d5f-44da-a02f-b3e33ed55495.jpg","2","Centre > East"
"318","2","3","39_188d6a74-49c3-4027-986a-1cd22408d091.jpg","3","Centre > South"
"318","2","4","39_b4b9c606-f689-486f-b3f9-df0afcf15ec0.jpg","4","Centre > West"
"317","1","1","40_09beff18-07ab-4255-a2f4-b4e18c1aea5e.jpg","1","Centre > North"
"317","1","2","40_79a98af9-ca77-4dee-aa51-3a915cf0bdfc.jpg","2","Centre > East"
"317","1","3","40_36223c3e-dfd5-4b78-b0cf-66c2fc93ac11.jpg","3","Centre > South"
"317","1","4","40_014b0a3d-c9aa-4e1a-bcc1-fa0d3f12ef5e.jpg","4","Centre > West"
"317","2","1","40_ed6aa44e-b6e0-445b-9d78-485570e148d2.jpg","1","Centre > North"
"317","2","2","40_dd1148d2-25e7-4938-b250-6051f5e50e50.jpg","2","Centre > East"
"317","2","3","40_940f6435-458e-4f97-a924-6df387fcca46.jpg","3","Centre > South"
"317","2","4","40_2f2fe35f-e02a-4515-9274-e975c8537e73.jpg","4","Centre > West"
"238","1","1","41_e11331b5-307b-4ae5-8aff-96be9c85987b.jpg","1","Centre > North"
"238","1","2","41_b299ce51-3f6a-4151-bf89-623029336a46.jpg","2","Centre > East"
"238","1","3","41_6a5df8f2-ab54-46e7-9fb1-e997dad16380.jpg","3","Centre > South"
"238","1","4","41_b6f2a2e7-c7d3-4d81-a409-0111810a3106.jpg","4","Centre > West"
"315","1","1","42_52597454-888c-4843-84a9-2da713b2aeb5.jpg","1","Centre > North"
"315","1","2","42_476f8fe7-ef93-4802-be31-505c337c3e92.jpg","2","Centre > East"
"315","1","3","42_4fc4df5d-1935-48ea-922e-c8f5751d8845.jpg","3","Centre > South"
"315","1","4","42_88ac6ab8-6456-49a1-a0ff-b5093baba925.jpg","4","Centre > West"
"316","1","1","43_cc63d0b8-50b3-4b05-8d02-b7ab2874e0df.jpg","1","Centre > North"
"316","1","2","43_746d2362-248e-4907-b14a-26de4457071e.jpg","2","Centre > East"
"316","1","3","43_2544d54c-050c-4ef2-9a8a-086a3b080301.jpg","3","Centre > South"
"316","1","4","43_9b0ec33a-6d79-47f7-ab45-5d24b23189c7.jpg","4","Centre > West"
"316","2","1","43_0e898efe-b6e0-49da-8bfa-480811a31879.jpg","1","Centre > North"
"316","2","2","43_bd0b4e4f-1cd1-425d-a6e5-692a1e647854.jpg","2","Centre > East"
"316","2","3","43_9e689085-49c1-450e-b48c-386aed25ecf2.jpg","3","Centre > South"
"316","2","4","43_70bfa998-ecf1-4572-ab0b-c99da5209365.jpg","4","Centre > West"
"306","1","1","44_cb06ba0e-fcc3-4513-99b9-752da25fc4e0.jpg","1","Centre > North"
"306","1","2","44_5bffb7d1-14c3-4230-be92-48732960f83a.jpg","2","Centre > East"
"306","1","3","44_39cebd52-5822-4907-82f3-ec96d3220f9a.jpg","3","Centre > South"
"306","1","4","44_4fa1c435-2ecb-4400-88f1-51906b27d8c5.jpg","4","Centre > West"
"306","2","1","44_479ceec5-225e-4fe8-b82c-e8e485ae3357.jpg","1","Centre > North"
"306","2","2","44_f4304fa5-44e7-4573-9b99-ab7f43459d8c.jpg","2","Centre > East"
"306","2","3","44_50b277b9-dfc9-476b-b143-dd8d9c310c48.jpg","3","Centre > South"
"306","2","4","44_9dbdf405-b68f-495a-8bae-8aa06ff9f127.jpg","4","Centre > West"
"1520","1","1","45_7439677b-58f2-4160-88b8-7fb46db1b142.jpg","1","Centre > North"
"1520","1","2","45_3dbd337d-43ff-485d-a64f-0bf1a6060511.jpg","2","Centre > East"
"1520","1","3","45_bfea72b6-3a1b-4a27-8aa9-6617d61e1c7c.jpg","3","Centre > South"
"1520","1","4","45_0c56ed81-7fba-4538-a5d5-ebe9cc99ca4f.jpg","4","Centre > West"
"1520","2","1","45_0d426331-e18d-429a-8d5a-4b4c098c2f9b.jpg","5","North > Centre"
"1520","2","2","45_88cab293-19dc-477e-93fe-ad6efc3bbf93.jpg","8","West > Centre"
"1521","1","1","","1","Centre > North"
"1521","1","2","","2","Centre > East"
"1521","1","3","","3","Centre > South"
"1521","1","4","","4","Centre > West"
"1519","1","1","47_26c0db08-2a93-4bbb-8236-a650bee7ceac.jpg","1","Centre > North"
"1519","1","2","47_865545b1-29de-4ba1-af39-57a6c9751b52.jpg","6","East > Centre"
"1519","1","3","47_95f7df16-6a20-4567-8f1b-32c63974ec82.jpg","3","Centre > South"
"1519","1","4","47_3094a39f-c920-447f-b96c-fa119a9cf801.jpg","4","Centre > West"
"1519","2","1","47_f2ec65ee-80c9-43dc-ae23-97bda6aec417.jpg","2","Centre > East"
"1519","2","2","47_3e93a655-0136-45b7-8ee2-bcb8d3daf737.jpg","3","Centre > South"
"304","1","1","48_b48bfe32-78e1-48a9-b7dd-35d90f2d791e.jpg","1","Centre > North"
"304","1","2","48_75aa2329-75a9-422b-997e-08c8aabe95c3.jpg","2","Centre > East"
"304","1","3","48_70c962d3-17bb-4f91-bc6f-24b477d0a9b2.jpg","3","Centre > South"
"304","1","4","48_67322414-5f81-42a8-93f7-bd6edadb9729.jpg","4","Centre > West"
"304","2","1","48_5ef9d732-f33d-4a30-88bd-b4098b2855cd.jpg","4","Centre > West"
"304","2","2","48_d716d8c0-4f4d-4da8-816f-ac2710f36111.jpg","1","Centre > North"
"304","2","3","48_c748650f-9f34-4480-a2d6-a1b26f5a8a8c.jpg","8","West > Centre"
"304","2","4","48_c54e38d8-1423-4526-8eb0-303579831187.jpg","6","East > Centre"
"1505","1","1","49_4c1262f8-80c6-405c-8de6-74bcf10fe6e6.jpg","3","Centre > South"
"1505","1","2","49_b043d8b3-d3d5-496d-b006-8a2d068ad17f.jpg","2","Centre > East"
"1505","1","3","49_8f42b7e6-3d37-45e0-b88b-bc8bd39b28f0.jpg","4","Centre > West"
"1505","1","4","49_bb596771-2ab7-4d25-a35a-3b8ba94f1a5d.jpg","1","Centre > North"
"1502","1","1","50_fb272580-b890-40bb-a9a8-b7370287ca54.jpg","1","Centre > North"
"1502","1","2","50_0d748222-b8d0-42e6-a68c-d69a1b5f31d3.jpg","2","Centre > East"
"1502","1","3","50_607fe397-953d-48ca-8194-c340d660e542.jpg","3","Centre > South"
"1502","1","4","50_c5be88ef-0a7d-4eb3-9b9b-72300462178c.jpg","4","Centre > West"
"1494","1","1","51_5e8c7638-0cd6-4f7d-8fcb-a9c20c77172c.jpg","1","Centre > North"
"1494","1","2","51_2b7653db-db0e-42d2-ac76-1548d5190d19.jpg","2","Centre > East"
"1494","1","3","51_add42890-ba0e-4ca6-8c6a-e873783014be.jpg","3","Centre > South"
"1494","1","4","51_5d6c2c0d-5ae3-4793-ac01-186ef73db0f3.jpg","4","Centre > West"
"1501","1","1","52_c5d36d56-7701-46ef-a210-c6628f6ba091.jpg","1","Centre > North"
"1501","1","2","52_b956e2d4-a72e-483b-8e33-1734760117f8.jpg","2","Centre > East"
"1501","1","3","52_39149d31-4c91-4e7e-9551-9a9aaab7daea.jpg","3","Centre > South"
"1501","1","4","52_6ab85f87-2092-4e03-a22e-d7905ac9d834.jpg","4","Centre > West"
"1499","1","1","53_22903d38-d8d6-49a5-9622-2a8d08b28320.jpg","1","Centre > North"
"1499","1","2","53_e4513804-1851-4c41-a8a7-360c09df6808.jpg","2","Centre > East"
"1499","1","3","53_dc174fcc-064d-4009-8cee-aea8bba24fb8.jpg","3","Centre > South"
"1499","1","4","53_643b8cfb-0cde-4649-b657-2d8c41146faf.jpg","4","Centre > West"
"308","1","1","54_a6205442-ee8b-482f-83cf-b1a3e6b89be8.jpg","1","Centre > North"
"308","1","2","54_409d00d3-8428-4972-92bb-e77910ec2466.jpg","2","Centre > East"
"308","1","3","54_86094270-653a-4a32-8b1b-162bc647a045.jpg","3","Centre > South"
"308","1","4","54_894e4cea-8b1d-41cd-8043-81dda908e32f.jpg","4","Centre > West"
"1550","1","1","55_02afda02-4726-4c44-b281-65f5da34ce45.jpg","1","Centre > North"
