"ID_WD","Tree_type","Vegetation_type","Region","location_group","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_species","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Remark"
68,"Tree","NA","NA",99,"NA","NA","NA","NA",1439,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.7,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
69,"Tree","NA","NA",99,"NA","NA","NA","NA",480,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.65,0.7,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
70,"Tree","NA","NA",99,"NA","NA","NA","NA",478,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.71,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
71,"Tree","NA","NA",99,"NA","NA","NA","NA",483,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.69,0.75,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
72,"Tree","NA","NA",99,"NA","NA","NA","NA",480,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.63,0.71,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
73,"Tree","NA","NA",99,"NA","NA","NA","NA",478,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.55",0.57,0.64,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
74,"Tree","NA","NA",99,"NA","NA","NA","NA",483,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.65",0.71,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
75,"Tree","NA","NA",99,"NA","NA","NA","NA",1439,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.66",0.69,0.75,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
76,"Tree","NA","NA",99,"NA","NA","NA","NA",500,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.49,0.52,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
77,"Tree","NA","NA",99,"NA","NA","NA","NA",500,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.41",0.42,0.46,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
78,"Tree","NA","NA",99,"NA","NA","NA","NA",524,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.62,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
