"ID","local_name","botanical_id","Species_ID"
2549,"Pia darmalar",855,1142
2550,"",855,1144
2551,"Jhau",857,1144
2552,"Lal-jhau",857,1144
2553,"",857,1144
2554,"Jhau",858,1144
2555,"Banjhau",858,1144
2556,"Urichia",858,1144
2557,"",858,1144
2558,"Jhau",859,1144
2559,"Nona-jhao",859,1144
2560,"",859,1204
2561,"Phulkat",860,1204
2562,"",860,1204
2563,"Cha Gach",861,1204
2564,"",861,1204
2565,"Lapet",862,1258
2566,"Ramjani",862,1258
2567,"Sagoler Bori",862,1258
2568,"",862,1258
2569,"Kanak",864,1259
2570,"Bon Champa",864,1259
2571,"Bonak",864,1259
2572,"Chilauni",864,1261
2573,"Makra",864,1261
2574,"Puinya bong ",864,1265
2575,"",864,1265
2576,"Agar",866,1265
2577,"",866,1265
2578,"Chavandalai",867,1265
2579,"",867,1265
2584,"Bola Sudri",868,1265
2585,"Kedar Sundrii",868,1265
2586,"",868,1277
2587,"Mass",869,1277
2588,"Masjot",869,1277
2589,"Moos",869,1277
2590,"",869,1277
2591,"Kowri",871,1288
2592,"",871,1288
2593,"Falsa",872,1288
2594,"Pholsa",872,1291
2595,"Datoi",872,1291
2596,"Dhamani",872,1295
2597,"Deogola",872,1295
2598,"Kapaija",872,1295
2599,"Phepsia",872,1335
2600,"",872,1335
2601,"Dhamni",873,1335
2602,"Dhaman",873,1336
2603,"",873,1336
2604,"Dhaman",874,1336
2605,"",874,1336
2606,"Kukurbicha",875,1337
2607,"",875,1337
2608,"Pichandi",877,1337
2609,"Asar",877,253
2610,"Achargula",877,253
2611,"Arsol ",877,254
2612,"Bol subret",877,254
2613,"Datoi",877,574
2614,"Patka",877,574
2615,"Pisia",877,574
2616,"Pisanti",877,574
2617,"Pichandi",877,1207
2618,"Phattasi",877,1207
2619,"Pesondi",877,1207
2620,"Kulu",878,1207
2621,"",878,1207
2622,"Panisara",879,1207
2623,"Pichandi",879,1207
2624,"Dhaman",879,111
2625,"Ganghthi",879,111
2626,"Mithaichora",879,184
2627,"Purakori",879,184
2628,"",879,221
2629,"Dhomoni",880,221
2630,"Pholsa",880,221
2631,"Khura",880,219
2632,"Phuladamar",880,219
2633,"",880,219
2634,"Banta",881,219
2635,"",881,696
2636,"Apna pata",885,696
2637,"Bakta patia",885,697
2638,"",885,697
2639,"Jiban",888,697
2640,"Jinal",888,697
2641,"Chikan",888,697
2642,"Gobarjiga",888,697
2643,"Banjiga",888,697
2644,"Ban nacha",888,697
2645,"Bonpotashi",888,698
2646,"Chicha",888,698
2647,"Dhala guaya ",888,698
2648,"Motmoti",888,699
2649,"Naricha",888,699
2650,"Phakram",888,700
2651,"Simulta",888,700
2652,"Zirgon",888,702
2653,"Fuljala",888,702
2654,"Zynni",888,702
2655,"Gota aista",888,702
2656,"Gunali",888,702
2657,"Jigni",888,702
2658,"Jigni suktani ",888,702
2659,"Jiban",889,702
2660,"Jinal",889,702
2661,"",889,702
2662,"Borthurthuri",891,702
2663,"Kanei sai",891,702
2664,"",891,703
2665,"Bangaldandi",893,703
2666,"Laua-chutra",893,704
2667,"Sutra",893,704
2668,"Chotra",893,704
2669,"Mong jai",893,704
2670,"Agnichutra",893,704
2671,"",893,704
2672,"Horhuta",894,704
2673,"Bakh",894,706
2674,"",894,706
2675,"Jangallya Shak",895,706
2676,"Maricha",895,706
2677,"Masha",895,706
2678,"Masadha",895,707
2679,"Sunnat gach",895,707
2680,"",895,316
2687,"Dhalya Baen",897,316
2688,"Doli Baen",897,316
2689,"Kanak Baen",897,1374
2690,"Sada Baen",897,1374
2691,"Sua Baen",897,1374
2692,"",897,1374
2693,"Baen",898,1374
2694,"Bani",898,1374
2695,"Bol Baen",898,1374
2696,"Tenya Baen",898,1374
2697,"Kala Baen",898,1374
2698,"",898,1374
2699,"Sada Baen",896,1374
2700,"Dubia Baen",896,1374
2701,"Maricha Baen",896,1374
2702,"",896,1374
2703,"Bormala",899,1374
2704,"Khoja",899,1374
2705,"Makanchi",899,1374
2706,"Taramah",899,1374
2707,"Turmong",899,1374
2708,"Kraru",899,1374
2709,"Markunchi",899,1376
2710,"Mashkhunchi",899,1376
2711,"Phul gamar",899,1376
2712,"",899,192
2713,"Kantamehedi",901,192
2714,"Duranta",901,192
2715,"",901,450
2716,"Gamari",902,450
2717,"GamarJogni chakra",902,450
2718,"Khoatukri",902,450
2719,"",902,450
2720,"Bhadhra",903,450
2721,"",903,450
2722,"Sheuli",906,1031
2723,"Shefali",906,1031
2724,"Shefalica",906,1031
2725,"",906,1198
2726,"Petrea",907,1198
2727,"Nilmanik",907,1198
2728,"",907,1198
2729,"Dunil",908,1198
2730,"Pakirhara",908,1198
2731,"Aholauja",908,138
2732,"Pakhir-har",908,138
2733,"Phongta",908,138
2734,"Koya-jarul",908,138
2735,"Macherkanta",908,1452
2736,"",908,1452
2737,"Gunial",913,1452
2738,"Guniber",913,1452
2739,"Mashuna",913,1452
2740,"",913,1452
2741,"Bhutfirari",914,140
2742,"Ganiari",914,140
2743,"Gambari",914,140
2744,"Bhuttsirabi",914,140
2745,"Gunal",914,140
2746,"",914,140
2747,"Shegun",916,243
2748,"Shegoon",916,243
2749,"Teak",916,243
2750,"Sakan",916,243
2751,"",916,243
2752,"Anhui",917,243
2753,"Monwal",917,243
2754,"",917,243
2755,"Bhatkur",918,243
2756,"",918,243
2757,"Ashal",919,502
2758,"Batri",919,502
2759,"Goda",919,502
2760,"Horina",919,685
2761,"Banskura",919,685
2762,"Guaria",919,685
2763,"Tokra",919,685
2764,"",919,686
2765,"Arsol",920,686
2766,"",920,1017
2767,"Arsal",921,1017
2768,"",921,1017
2769,"Bara-nishinda",922,1017
2770,"Nishinda",922,1069
2771,"Hingrain",922,1069
2772,"Neemlee",922,1069
2773,"Nihunda",922,1116
2774,"Nirgundi",922,1116
2775,"",922,1116
2776,"Arsol",923,1116
2777,"Awal",923,1116
2778,"Baruna",923,1116
2779,"Goda ",923,1116
2780,"Horina",923,1116
2781,"Aswal",923,1121
2782,"Ashoi",923,1121
2783,"Krawru",923,1121
2784,"Sakhra",923,1121
2785,"Kraroba",923,1122
2786,"Silangri",923,1122
2787,"",923,1122
2788,"Awal",924,1122
2789,"Badruk",924,1122
2790,"Arsol",924,1122
2791,"Aswat",924,1345
2792,"",924,1345
2793,"Bhathur",925,1345
2794,"Bhathair",925,1345
2795,"Horina",925,1345
2796,"Goda",925,1395
2797,"Khong sam bol",925,1395
2798,"",925,1395
2799,"Choto Nishinda",926,1396
2800,"Kawa niuda",926,1396
2801,"Meunda pata",926,1397
2802,"Nagphullya",926,1397
2803,"",926,1397
2804,"Ajensak",929,1397
2805,"Gandi",929,1397
2806,"Amarasac",929,1397
2807,"Hongsha",929,1397
2808,"Phalthin",929,1397
2809,"Samloke sree",929,1484
2810,"",929,1484
2811,"Keya",932,1398
2812,"Keori",932,1398
2813,"Kewa kanta",932,1399
2814,"",932,1399
2815,"Keya kanta",933,1399
2816,"Kotki kanta",933,1399
2817,"",933,1399
2818,"Keya",934,1399
2819,"",934,1399
2820,"Bhalku Bans",935,149
2821,"Bhaillya Bans",935,149
2822,"Bhal1ua Bans",935,149
2823,"Boira Bans",935,149
2824,"Borak Bans ",935,149
2825,"Heel Barua",935,149
2826,"Heel Borak",935,149
2827,"Shi1 Barua",935,149
2828,"Nal Borak",935,149
2829,"Shil Borak",935,149
2830,"Boroo Bans ",935,149
2831,"Boura Bans",935,149
2832,"Giraittya Bans",935,149
2833,"Gita Bora",935,149
2834,"Beor bans",936,150
2835,"Ban Bans",936,150
2836,"Kanta Bans",936,150
2837,"Ketua Bans",936,150
2838,"",936,150
2839,"Mitinga Bans",937,151
2840,"Mirtinga Bans",937,151
2841,"",937,151
2842,"Bethua Bans",938,152
2843,"Sonarati Bans",938,152
2844,"Jama Bethua Bans",938,152
2845,"Moral",938,152
2846,"Pati bans",938,152
2847,"Ranjul Bans",938,152
2848,"",938,152
2849,"Kanak Kaich bans",939,153
2850,"",939,153
2851,"Chikoin Bans",940,154
2852,"Chotomitinga Bans",940,154
2853,"Kolonkini bans",940,154
2854,"Konkoi Bans",940,154
2855,"Tengra Bans",940,154
2856,"Tengal bans",940,154
2857,"Tentua Bans",940,154
2858,"",940,154
2859,"Choi Bans",941,155
2860,"",941,155
2861,"Bakhal Bans",942,156
2862,"Mal Bans",942,156
2863,"Mahal Bans",942,156
2864,"Makala Bans",942,156
2865,"Moral Bans",942,156
2866,"",942,156
2867,"Burma Bans",943,157
2868,"Dhal Bans",943,157
2869,"Goari Bans",943,157
2870,"Pharua Bans",943,157
2871,"Wapia Bans",943,157
2872,"",943,157
2873,"Jaotha Bans",944,158
2874,"Kalijowa Bans",944,158
2875,"Katajali Bans",944,158
2876,"Keskijowa Bans",944,158
2877,"Kurajava Bans",944,158
2878,"",944,158
2879,"Beor bans",945,160
2880,"",945,160
2881,"Allie",946,161
2882,"Mirtinga",946,161
2883,"Mitinga Talla",946,161
2884,"Taralla",946,161
2885,"Toru",946,161
2886,"",946,161
2887,"Ghoti Bans",947,162
2888,"",947,162
2889,"Baria",948,163
2890,"Bariala",948,163
2891,"Baijja",948,163
2892,"Bari",948,163
2893,"Bashni",948,163
2894,"Bahini",948,163
2895,"Baini",948,163
2896,"Bangla Bans",948,163
2897,"Ja",948,163
2898,"Jowa",948,163
2899,"Jai",948,163
2900,"Kanai Bari",948,163
2901,"Ora",948,163
2902,"Orag Bans",948,163
2903,"Budum Bans ",950,444
2904,"Bhodom bans",950,444
2905,"Kanchan bans",950,444
2906,"",950,444
2907,"Pencha Bans",951,445
2908,"",951,445
2909,"Khang bans",952,446
2910,"Ora bans",952,446
2911,"Orali bans",952,446
2912,"Rupai bans",952,446
2913,"Taro bans",952,446
2914,"",952,446
2915,"Karail bans",954,449
2916,"Lathi Bans",954,449
2917,"",954,449
2918,"Ka1ia bans",955,660
2919,"Ka1iseri bans",955,660
2920,"Ka1ibans",955,660
2921,"Ka1izori bans",955,660
2922,"",955,660
2923,"Tendu bans",956,661
2924,"",956,661
2925,"Kala Bans",957,662
2926,"",957,662
2927,"Doral bans",958,929
2928,"Lata Bans",958,929
2929,"",958,929
2930,"Bajali bans",959,931
2931,"Muli bans",959,931
2932,"Nail bans",959,931
2933,"Paiyya bans",959,931
2934,"Tarai bans",959,931
2935,"",959,931
2936,"Dolu Bans",960,1208
2937,"",960,1208
2938,"Burma Bans",961,1368
2939,"Rangooni Bans",961,1368
2940,"",961,1368
2941,"Thai Bans",962,1481
2942,"",962,1481
2943,"Panthopadop",963,1159
2944,"",963,1159
2945,"Araucaria",964,115
2946,"",964,115
2947,"Thuja",965,1366
2948,"Jhau",965,1366
2949,"",965,1366
2950,"Cycas",967,422
2951,"Jam chattar",967,422
2952,"Moniraj",967,422
2953,"",967,422
2954,"Cycas",968,423
2955,"",968,423
2956,"Pine",969,1090
2957,"",969,1090
2958,"Saral",971,1091
2959,"",971,1091
2960,"Banspata",972,1103
2961,"Bao patta",972,1103
2962,"Jinari",972,1103
2963,"Rajagach",972,1103
2964,"",972,1103
2965,"Dheki gach",973,416
2966,"Tree fern",973,416
2967,"",973,416
2968,"Dheki gach",974,417
2969,"Tree fern",974,417
2970,"",974,417
2971,"Dheki gach",975,418
2972,"Hayatee mursalin",975,418
2973,"Tree fern",975,418
2974,"",975,418
2975,"Raj Dekia",976,82
2976,"",976,82
2977,"Darkan",977,492
2978,"",977,492
2979,"Gua",978,123
2980,"Supari",978,123
2981,"",978,123
2982,"Chini tal",979,125
2983,"",979,125
