"plot_plot_id","subplot_subp_id","lf_subp_lfno","lf_s_percent","lf_m_count","lf_m_percent","lf_l_count","lf_l_percent"
"837","3","1","100","44","100","256","100.0"
"475","1","1","100","44","100","256","100.0"
"475","2","1","100","44","100","256","100.0"
"9","1","1","0","44","100","217","84.765625"
"9","3","1","100","32","73","184","71.875"
"9","2","1","100","28","64","185","72.265625"
"506","1","1","100","44","100","256","100.0"
"506","2","1","100","44","100","256","100.0"
"506","3","1","100","44","100","256","100.0"
"515","1","1","100","44","100","256","100.0"
"515","2","1","100","44","100","256","100.0"
"515","3","1","100","44","100","256","100.0"
"808","1","1","100","44","100","256","100.0"
"808","2","1","100","44","100","256","100.0"
"808","3","1","100","44","100","256","100.0"
"503","1","1","100","44","100","256","100.0"
"503","2","1","100","44","100","256","100.0"
"503","3","1","100","44","100","256","100.0"
"820","1","1","100","44","100","256","100.0"
"820","2","1","100","44","100","256","100.0"
"820","3","1","100","44","100","256","100.0"
"813","1","1","100","44","100","256","100.0"
"813","2","1","100","44","100","256","100.0"
"813","3","1","100","44","100","256","100.0"
"514","1","1","0","44","100","256","100.0"
"514","2","1","0","44","100","256","100.0"
"514","3","1","0","44","100","256","100.0"
"518","1","1","100","44","100","256","100.0"
"518","2","1","100","44","100","256","100.0"
"518","3","1","100","44","100","256","100.0"
"840","1","1","100","44","100","256","100.0"
"840","2","1","100","44","100","256","100.0"
"840","3","1","100","44","100","256","100.0"
"817","1","1","100","44","100","256","100.0"
"817","2","1","100","44","100","256","100.0"
"817","3","1","100","44","100","256","100.0"
"10","1","1","0","44","100","256","100.0"
"10","2","1","100","44","100","256","100.0"
"10","3","1","100","44","100","256","100.0"
"825","1","1","100","44","100","256","100.0"
"825","2","1","100","44","100","256","100.0"
"825","3","1","100","44","100","256","100.0"
"807","1","1","100","44","100","256","100.0"
"807","2","1","100","44","100","256","100.0"
"807","3","1","100","44","100","256","100.0"
